x,y,z,avg,diff,localdata
-3.06697,-1.13808,7.50345,85.5756,-2.31482,-0.1008,0
-2.71685,-1.18943,7.61946,84.0783,-1.4973,-0.240204,0
-2.21914,-1.83668,8.04831,83.0606,-1.01773,-0.288429,0
-1.73384,-1.59793,8.3414,82.1749,-0.885712,-0.424706,0
-0.842897,-1.62128,6.41955,79.5436,-2.63122,0.321053,0
-0.0447569,-1.9729,5.16127,76.227,-3.31662,-0.0672989,0
-0.46164,-3.18672,6.94571,74.1568,-2.07019,-0.143097,0
-3.35572,-2.92252,10.1829,76.2645,2.10767,0.266396,0
-4.77717,-1.61784,10.3082,79.349,3.08447,0.559319,0
-5.33086,-1.2502,9.57005,81.4001,2.05112,0.82795,0
-5.77783,-1.20963,9.41138,83.674,2.27389,1.99464,0
-5.58129,-1.45722,9.88754,86.374,2.70007,2.04865,0
-5.14001,-1.21068,9.62813,88.5149,2.14083,1.53493,0
-4.21014,-1.36486,9.13431,89.3889,0.874016,1.53889,0
-3.85763,-1.07521,8.74182,89.9161,0.527199,1.14848,0
-3.149,-0.999472,8.76667,90.6758,0.759712,0.698318,0
-3.2689,-0.733624,8.58734,91.7985,1.1227,0.886871,0
-3.07446,-0.794548,8.20923,92.4624,0.663933,1.52539,0
-2.62913,-0.969384,7.55943,91.9577,-0.504768,0.889465,0
-2.45594,-1.01818,7.29523,91.0295,-0.928116,0.245377,0
-2.35969,-1.2011,7.63562,92.3273,1.29774,0.384766,0
-2.4992,-1.21592,8.00401,94.9058,2.57847,-0.22258,0
-2.67778,-1.3951,8.02092,95.8333,0.927551,-1.56094,0
-2.85801,-1.40558,8.31207,93.0671,-2.76617,-2.53627,0
-2.70517,-1.82321,8.83508,90.3799,-2.68727,-3.17551,0
-3.15813,-1.77785,9.00976,88.6763,-1.70353,-3.51865,0
-3.37249,-1.42324,9.25001,87.1477,-1.52866,-3.91064,0
-3.4406,-1.7078,9.40928,85.4134,-1.73431,-3.82011,0
-3.69087,-1.71663,9.7392,84.8406,-0.572807,-3.65173,0
-3.5843,-1.98367,9.54595,85.1458,0.305229,-3.66377,0
-3.58579,-1.93577,9.63157,86.203,1.05722,-3.26175,0
-3.82874,-1.98951,9.70432,87.7669,1.56385,-1.89706,0
-4.02483,-1.99625,10.1549,90.1631,2.39621,-1.6359,0
-3.78443,-1.97739,10.3692,93.1805,3.01738,-2.88914,0
-4.27646,-1.48386,10.4049,97.1651,3.98463,-1.83464,0
-4.2799,-1.91063,10.1486,101.207,4.04208,-1.00984,0
-3.89745,-1.95613,9.60987,104.085,2.87828,-0.319283,0
-3.96585,-1.73235,8.9939,105.825,1.73941,0.956741,0
-3.59477,-1.922,9.16304,107.52,1.69537,2.14894,0
-3.23148,-2.21899,8.97324,108.561,1.0407,2.9977,0
-2.34607,-2.3058,8.0549,107.749,-0.812393,3.2029,0
-2.14609,-2.17857,7.84698,106.287,-1.46147,3.08769,0
-2.09175,-2.07379,7.9362,104.581,-1.70642,2.77008,0
-1.96437,-2.15926,7.69535,102.359,-2.22185,2.85295,0
-1.83174,-1.82994,7.67559,99.4961,-2.86267,3.0083,0
-2.27272,-2.16749,8.40158,97.78,-1.71609,3.20773,0
-2.22213,-2.19593,8.33826,95.8997,-1.88036,2.9231,0
-3.02401,-2.16929,8.75245,94.5037,-1.39597,2.23742,0
-3.06323,-1.72082,9.02084,92.6546,-1.84911,1.6779,0
-3.11442,-1.84626,8.83328,90.491,-2.16361,2.51334,0
-3.17699,-2.2112,9.12562,88.5853,-1.90572,1.9586,0
-3.34764,-2.60428,9.33055,87.3407,-1.24461,2.12595,2.51334
-3.69731,-2.55369,9.11215,86.8317,-0.508957,1.17622,0
-3.79521,-2.57285,9.42665,87.4733,0.641602,0.624321,0
-4.31148,-3.06592,8.71233,87.6805,0.20723,0.0358658,0
-4.15027,-2.89303,8.70096,88.019,0.338478,-0.821503,0
-4.3299,-2.82493,8.77341,89.7689,1.74992,-1.01927,0
-4.12333,-2.7875,9.15945,92.1277,2.35878,-1.02691,0
-3.90732,-1.50647,9.46332,94.3422,2.21449,-1.03767,0
-3.20708,-1.80839,9.17622,96.2184,1.8762,-1.24799,0
-3.09751,-1.62233,8.5375,97.4369,1.21854,-1.09409,0
-2.99123,-1.69987,8.61533,97.7876,0.3507,-1.01089,0
-3.17984,-1.76363,8.47493,98.1476,0.35997,-1.09573,0
-2.62105,-1.00321,8.36101,97.3556,-0.792061,-1.13541,0
-2.15237,-0.966091,8.68239,96.5574,-0.798134,-0.287338,0
-2.46822,-1.2267,8.88657,96.272,-0.285446,-0.436493,0
-2.58378,-1.90943,8.21656,94.9953,-1.27663,-0.043396,0
-2.77418,-2.09579,8.58764,93.7946,-1.20075,-0.408203,0
-3.09901,-2.46986,9.54864,94.0232,0.228622,-0.679108,0
-3.35707,-2.68287,9.72872,94.2251,0.201927,-0.754761,0
-2.68078,-2.3335,9.51736,94.1825,-0.0426102,-0.10939,0
-2.24533,-2.11106,9.70567,94.3324,0.149818,0.721146,0
-1.79088,-2.02125,9.39596,93.8246,-0.507759,0.920715,0
-1.83024,-2.29233,9.42695,93.1249,-0.69973,1.02995,0
-2.33724,-2.36927,8.91441,92.0906,-1.03426,1.28566,0
-2.65952,-2.2826,8.82834,91.6196,-0.470985,1.38011,0
-2.8378,-2.36239,9.09329,92.32,0.700409,1.32731,0
-2.90202,-2.56177,9.30106,93.2846,0.964561,1.05818,0
-3.15858,-2.16031,8.94091,93.8807,0.596077,0.84922,0
-3.33387,-2.39771,8.75649,94.8655,0.98481,1.06561,0
-3.42144,-2.60638,8.6062,95.5915,0.726013,0.391762,0
-3.25573,-2.65263,8.47029,95.7674,0.175873,-0.0751801,0
-3.04602,-2.63332,8.60366,96.5425,0.775108,-0.138725,0
-2.93091,-2.81295,8.60126,96.833,0.290543,-0.461479,0
-3.27818,-2.67718,8.57971,95.8733,-0.959717,-0.0670242,0
-3.50706,-2.45804,8.38511,94.3443,-1.52901,-0.159698,0
-4.12392,-2.23725,8.42134,93.7017,-0.642548,-0.474762,0
-4.07078,-2.00987,8.69602,93.2351,-0.466652,-0.338699,0
-4.44456,-2.15851,8.81412,93.6429,0.407822,-0.303589,0
-4.49186,-2.39322,9.00003,94.2325,0.589561,-0.23365,0
-4.16299,-2.41912,8.93552,95.0127,0.780205,-0.393593,0
-4.12198,-2.54725,8.68539,95.5559,0.543266,-1.23276,0
-4.01046,-2.51657,8.54483,95.5003,-0.0556793,-0.697403,0
-3.72366,-2.43783,8.44379,94.851,-0.649239,-1.00503,0
-3.42024,-2.17827,8.56369,94.5508,-0.300232,-0.682228,0
-3.57606,-2.54905,8.4854,94.41,-0.140739,-0.629486,0
-3.32728,-2.46507,8.63225,94.3536,-0.0564423,-0.661423,0
-3.12236,-2.72987,8.58749,94.4514,0.0977707,-0.671432,0
-3.34734,-2.70353,8.33392,94.3096,-0.141724,-0.760216,0
-3.69087,-2.4528,8.35877,94.2486,-0.061058,-0.436882,0
-3.48535,-2.57465,8.56414,94.2858,0.0372391,-0.607918,0
-3.61334,-2.74784,8.10265,94.1363,-0.149483,-0.243797,0
-3.48176,-2.63767,8.11807,93.6396,-0.49675,0.360077,0
-3.41545,-2.65847,7.81121,92.6094,-1.03024,0.472313,0
-3.57576,-2.30461,7.88096,91.2409,-1.36845,0.153694,0
-3.71003,-2.4043,7.75507,89.5397,-1.70117,0.066124,0
-3.43461,-2.43903,7.51512,87.7395,-1.80023,0.0765152,0
-3.61977,-2.53528,7.1662,85.9876,-1.7519,0.592552,0
-4.02169,-2.4043,7.32008,84.7443,-1.2433,-0.104256,0
-4.18006,-2.16375,7.05842,83.5487,-1.19563,0.241913,0
-4.02393,-2.21943,6.94541,82.2722,-1.27644,0.170914,0
-3.89625,-2.48214,7.07983,81.0333,-1.23889,-0.398239,0
-3.85164,-2.88121,7.1183,79.9173,-1.11603,-0.14444,0
-3.93996,-2.73182,6.98253,78.717,-1.20029,0.608261,0
-3.57202,-3.09916,7.21051,77.8662,-0.850777,1.06227,0
-3.59373,-2.9592,7.16949,76.8391,-1.02716,1.14268,0
-3.90224,-2.82163,7.30735,75.8682,-0.970901,1.46017,0
-3.78533,-2.60443,7.37172,75.1928,-0.675362,1.34048,0
-3.88307,-2.55788,7.09734,74.381,-0.811852,0.976074,0
-3.90703,-2.8848,7.22443,74.1329,-0.248032,0.294342,0
-3.56618,-2.8375,7.28415,73.7343,-0.398682,1.04459,0
-3.69462,-2.9321,7.68457,73.8351,0.100868,0.753372,0
-4.10252,-2.91698,8.11373,74.8945,1.05935,0.826614,0
-4.21808,-3.26247,8.42164,76.6742,1.77969,0.884644,0
-4.48797,-3.1279,8.64662,78.4961,1.82197,0.920883,0
-4.54335,-3.0767,8.54947,80.4477,1.95159,0.450653,0
-4.50294,-2.93659,8.72775,82.68,2.23232,0.591637,0
-4.73106,-2.42915,8.77894,84.798,2.11799,0.874275,0
-4.98673,-3.05724,9.47799,87.938,3.14,0.920502,0
-4.33199,-2.5724,9.64355,90.853,2.91498,0.679016,0
-4.01375,-2.307,9.93709,93.7169,2.86391,0.263206,0
-4.36672,-2.43454,9.92481,96.8684,3.15149,-0.139618,0
-4.27765,-2.40385,9.70073,99.4681,2.59966,-0.758438,0
-3.88861,-2.05627,9.61735,101.742,2.27431,-1.60736,0
-3.76752,-2.49172,10.08,104.868,3.12604,-1.92823,0
-3.69522,-2.51821,9.90131,107.509,2.64081,-1.7571,0
-4.11554,-2.52809,9.74698,110.291,2.78154,-2.26053,0
-4.1371,-2.38245,9.74399,112.568,2.2773,-1.83844,0
-4.06061,-2.47885,9.20646,113.582,1.01375,-1.72374,0
-3.90867,-2.34577,9.06979,113.812,0.230103,-2.07699,0
-3.68878,-2.20192,7.99922,112.421,-1.39041,-1.95572,0
-3.62067,-2.24907,8.33272,111.446,-0.974991,-1.72576,0
-3.52083,-2.17183,8.02751,109.977,-1.46998,-2.12172,0
-3.97843,-1.8027,8.07795,108.663,-1.31391,-2.0331,0
-4.07483,-1.94041,8.08035,106.264,-2.39907,-2.01923,0
-3.75883,-1.94251,7.89773,103.882,-2.38157,-2.1745,0
-3.8476,-1.94685,7.5732,101.118,-2.76441,-2.71724,0
-3.76557,-2.14055,7.63338,98.2134,-2.9042,-2.76048,0
-3.7726,-1.85913,7.55883,95.5036,-2.70975,-2.6156,0
-3.84595,-1.62263,7.51452,93.1317,-2.37192,-1.68611,0
-3.78263,-1.49344,7.62649,90.1749,-2.95674,-1.51913,0
-3.49164,-1.49389,7.92826,87.628,-2.54696,-1.38873,0
-3.31486,-1.60362,8.08199,85.1621,-2.46588,-1.35805,0
-3.49583,-1.43237,8.18378,82.8815,-2.28063,-1.38301,0
-3.64821,-1.52982,8.28722,81.44,-1.44151,-1.58985,0
-3.67037,-1.55152,8.36954,80.3704,-1.06959,-0.736492,0
-3.81542,-1.7804,8.57746,80.9239,0.553566,-0.743675,0
-3.6072,-1.76737,8.84945,81.3518,0.427902,-0.536659,0
-3.96525,-1.82905,8.78463,82.2696,0.917778,-0.205116,0
-3.76243,-1.59538,8.92998,83.0268,0.757172,0.0866051,0
-3.72081,-1.7804,8.67222,83.4368,0.410011,0.736786,0
-3.5834,-1.92425,9.14194,84.6769,1.24014,1.21437,0
-3.19436,-1.6837,8.9207,85.7188,1.04188,1.35086,0
-3.44733,-1.53506,9.23505,87.1249,1.40604,1.85311,0
-3.25049,-1.58191,9.07548,88.4128,1.28797,2.30682,0
-3.36605,-1.8765,9.4271,90.2772,1.86433,2.95203,0
-3.37563,-1.7051,9.47994,92.119,1.84184,3.62019,0
-3.49867,-1.57907,9.68022,94.0665,1.94751,3.55406,0
-3.43775,-1.45063,9.61615,95.7862,1.71965,3.26877,0
-3.59178,-1.38881,9.06724,96.7735,0.987366,3.09543,0
-3.35812,-1.30858,9.26783,97.6832,0.909637,2.60516,0
-3.35393,-1.41007,9.03821,98.2456,0.562386,2.1662,0
-3.25468,-1.41052,8.72251,98.0808,-0.164711,2.28771,0
-3.34914,-1.27729,8.60665,97.6105,-0.470352,3.01175,0
-3.33192,-1.30768,8.30039,96.7024,-0.908134,3.1335,0
-3.1505,-1.37145,7.97452,95.387,-1.31539,1.8047,0
-3.33566,-1.53341,8.16148,94.6286,-0.758377,-0.44165,0
-3.04317,-1.43342,7.80252,92.8834,-1.74522,-2.60841,0
-3.02102,-1.51485,7.76869,91.5806,-1.30272,-2.84341,0
-2.92761,-1.41112,7.64026,89.6687,-1.91193,-2.75185,0
-3.09526,-1.37399,7.70104,88.1276,-1.54112,-1.36598,0
-3.07296,-1.19826,7.66511,85.997,-2.13055,-1.93676,0
-3.11712,-1.1041,7.59042,83.7707,-2.22635,-3.15073,0
-3.32563,-1.25888,7.47306,81.2738,-2.49686,-3.09676,0
-3.33297,-1.38193,8.41999,79.869,-1.40488,-2.72385,0
-3.40856,-1.49105,8.38631,79.0644,-0.80455,-2.68398,0
-3.37758,-1.49389,8.64273,78.4053,-0.659103,-3.44717,0
-3.45571,-1.16712,8.86531,78.216,-0.18927,-3.05478,0
-3.86571,-1.11758,9.09075,78.8516,0.635605,-2.7207,0
-3.92559,-1.08105,9.015,79.5345,0.682907,-2.55177,0
-3.95403,-1.19317,9.15571,80.7331,1.19855,-2.6614,0
-3.83937,-1.17251,8.99869,82.0889,1.35578,-1.7162,0
