Counter, Data, Peaks
1378,-15990,
1379,-5233,
1380,5855,
1381,3400,
1382,-2613,
1383,8818,
1384,34541,
1385,58407,
1386,51801,
1387,4078,
1388,-7378,
1389,17663,
1390,8965,
1391,-22750,
1392,-71871,
1393,-102992,
1394,-101244,
1395,-87585,
1396,-93386,
1397,-40875,
1398,-40532,
1399,-35602,
1400,-13057,
1401,-2610,
1402,6250,
1403,16279,
1404,38506,
1405,78662,
1406,105086,105086,
1407,61838,
1408,29390,
1409,29236,
1410,57324,
1411,69835,
1412,63775,
1413,73954,
1414,59620,
1415,28329,
1416,-11920,
1417,-41102,
1418,-74399,
1419,-56146,
1420,-40657,
1421,-20376,
1422,-7456,
1423,-13498,
1424,-13045,
1425,-11583,
1426,-17161,
1427,-15963,
1428,-15481,
1429,-4859,
1430,11025,
1431,12119,
1432,-4589,
1433,-1022,
1434,27855,
1435,59140,
1436,55894,
1437,6846,
1438,-34008,
1439,-13879,
1440,-1093,
1441,-8627,
1442,-43178,
1443,-66364,
1444,-69551,
1445,-80465,
1446,-66512,
1447,-51124,
1448,-40006,
1449,-40617,
1450,-18234,
1451,-17107,
1452,4551,
1453,14642,
1454,39724,
1455,73488,
1456,88385,88385,
1457,41866,
1458,18003,
1459,30204,
1460,62106,
1461,68415,
1462,60935,
1463,61985,
1464,54623,
1465,37988,
1466,-9863,
1467,-55302,
1468,-69251,
1469,-63210,
1470,-49248,
1471,-29296,
1472,-13154,
1473,-11997,
1474,-9888,
1475,-8170,
1476,-14502,
1477,-14806,
1478,-9312,
1479,7317,
1480,23987,
1481,19763,
1482,11126,
1483,21703,
1484,48219,
1485,68725,
1486,47504,
1487,6101,
1488,-34433,
1489,-13352,
1490,-1188,
1491,-19423,
1492,-52885,
1493,-70648,
1494,-79249,
1495,-82468,
1496,-61830,
1497,-51925,
1498,-31065,
1499,-15369,
1500,-4331,
1501,12528,
1502,17117,
1503,27266,
1504,48787,
1505,75157,
1506,78645,78645,
1507,31313,
1508,9397,
1509,19355,
1510,47267,
1511,64400,
1512,52617,
1513,59884,
1514,57496,
1515,26011,
1516,-29350,
1517,-56698,
1518,-60716,
1519,-55156,
1520,-30206,
1521,-10043,
1522,-4636,
1523,-4335,
1524,-6258,
1525,-5164,
1526,-6521,
1527,-7154,
1528,-6968,
1529,8501,
1530,20507,
1531,2822,
1532,-10803,
1533,3020,
1534,44194,
1535,65998,
1536,42937,
1537,2468,
1538,-25692,
1539,-8485,
1540,4624,
1541,-8004,
1542,-38164,
1543,-70399,
1544,-77187,
1545,-82283,
1546,-73121,
1547,-56833,
1548,-31851,
1549,-26763,
1550,-12040,
1551,-2524,
1552,6957,
1553,32430,
1554,70020,
1555,102053,102053,
1556,62301,
1557,16626,
1558,9500,
1559,32569,
1560,58340,
1561,60249,
1562,55036,
1563,59633,
1564,53768,
1565,19563,
1566,-26052,
1567,-60349,
1568,-59306,
1569,-53642,
1570,-28309,
1571,-8230,
1572,-4785,
1573,-7605,
1574,-11872,
1575,-13006,
1576,-12176,
1577,-8843,
1578,-1750,
1579,19739,
1580,22768,
1581,942,
1582,-2229,
1583,18569,
1584,50230,
1585,44083,
1586,5478,
1587,-37154,
1588,-19236,
1589,9345,
1590,6241,
1591,-18331,
1592,-51417,
1593,-69289,
1594,-75154,
1595,-66391,
1596,-54480,
1597,-42122,
1598,-38319,
1599,-26197,
1600,-10809,
1601,5808,
1602,6242,
1603,25744,
1604,59639,
1605,93229,93229,
1606,76311,
1607,25801,
1608,7046,
1609,24050,
1610,48578,
1611,54835,
1612,62110,
1613,73796,
1614,49084,
1615,19725,
1616,-22287,
1617,-40789,
1618,-42436,
1619,-40647,
1620,-22967,
1621,-13542,
1622,-11347,
1623,-15741,
1624,-15591,
1625,-15290,
1626,-18725,
1627,-19390,
1628,-17458,
1629,-2613,
1630,17130,
1631,16386,
1632,6944,
1633,23306,
1634,71108,
1635,88391,
1636,43607,
1637,-1338,
1638,-21357,
1639,3777,
1640,12529,
1641,-11556,
1642,-50504,
1643,-80350,
1644,-91421,
1645,-85115,
1646,-66827,
1647,-56316,
1648,-49910,
1649,-36937,
1650,-19136,
1651,2760,
1652,10939,
1653,21903,
1654,37902,
1655,61331,
1656,79952,79952,
1657,62777,
1658,34304,
1659,27651,
1660,55845,
1661,69563,
1662,56456,
1663,53406,
1664,59964,
1665,32955,
1666,-38668,
1667,-79075,
1668,-66809,
1669,-50443,
1670,-29315,
1671,-5952,
1672,-5195,
1673,-8673,
1674,-11283,
1675,-9867,
1676,-12771,
1677,-17304,
1678,-14729,
1679,-13285,
1680,-30,
1681,4493,
1682,529,
1683,-7637,
1684,9458,
1685,46717,
1686,68199,
1687,51444,
1688,10500,
1689,5984,
1690,5993,
1691,-4774,
1692,-39534,
1693,-72445,
1694,-85554,
1695,-85587,
1696,-91165,
1697,-79967,
1698,-54781,
1699,-42234,
1700,-31301,
1701,-23835,
1702,-6075,
1703,1020,
1704,13342,
1705,36597,
1706,77976,
1707,106213,106213,
1708,66325,
1709,27325,
1710,22836,
1711,36516,
1712,43501,
1713,50740,
1714,52944,
1715,49334,
1716,17408,
1717,-30614,
1718,-68173,
1719,-68610,
1720,-56594,
1721,-36808,
1722,-16598,
1723,-670,
1724,-4730,
1725,-5215,
1726,1517,
1727,1055,
1728,1087,
1729,49,
1730,13394,
1731,34264,
1732,29621,
1733,5216,
1734,10204,
1735,30333,
1736,64282,
1737,56034,
1738,-2125,
1739,-46337,
1740,-32405,
1741,-1531,
1742,-6002,
1743,-26745,
1744,-50062,
1745,-67360,
1746,-70514,
1747,-62592,
1748,-43901,
1749,-34446,
1750,-26512,
1751,-28058,
1752,-11984,
1753,-7414,
1754,5441,
1755,20980,
1756,61519,
1757,90770,90770,
1758,51388,
1759,20071,
1760,22761,
1761,59293,
1762,71034,
1763,56502,
1764,77927,
1765,52341,
1766,54120,
1767,6541,
1768,-37284,
1769,-65564,
1770,-48333,
1771,-41673,
1772,-20532,
1773,-16888,
1774,-13497,
1775,-10872,
1776,-9052,
1777,-11848,
1778,-13565,
1779,-14938,
1780,-8250,
1781,16034,
1782,29686,
1783,19077,
1784,24400,
1785,58161,
1786,95439,
1787,77547,
1788,31565,
1789,-14196,
1790,-11001,
1791,278,
1792,-10381,
1793,-54583,
1794,-87216,
1795,-88615,
1796,-111454,
1797,-67499,
1798,-74387,
1799,-53911,
1800,-42413,
1801,-15660,
1802,-2259,
1803,14387,
1804,25432,
1805,45364,
1806,88625,
1807,102896,102896,
1808,55446,
1809,32578,
1810,44552,
1811,73417,
1812,86623,
1813,72164,
1814,70360,
1815,78018,
1816,38136,
1817,-14948,
1818,-62966,
1819,-65861,
1820,-72110,
1821,-55858,
1822,-26773,
1823,-15905,
1824,-16128,
1825,-12251,
1826,-9053,
1827,-15089,
1828,-15498,
1829,-15744,
1830,-9637,
1831,11589,
1832,14062,
1833,2807,
1834,14109,
1835,40261,
1836,79714,
1837,85983,
1838,37813,
1839,1492,
1840,11095,
1841,10900,
1842,-13485,
1843,-47194,
1844,-77319,
1845,-92287,
1846,-98380,
1847,-98998,
1848,-68515,
1849,-53590,
1850,-46004,
1851,-32080,
1852,-9872,
1853,-5052,
1854,7222,
1855,36395,
1856,80224,
1857,92299,92299,
1858,55649,
1859,24991,
1860,27388,
1861,50461,
1862,69768,
1863,85216,
1864,96047,
1865,102549,
1866,72227,
1867,18818,
1868,-49724,
1869,-70062,
1870,-70785,
1871,-64575,
1872,-35241,
1873,-18473,
1874,-15139,
1875,-17945,
1876,-17042,
1877,-16810,
1878,-24708,
1879,-20141,
1880,-17325,
1881,-7918,
1882,11284,
1883,19945,
1884,4436,
1885,8310,
1886,28079,
1887,53746,
1888,41975,
1889,17809,
1890,35795,
1891,48237,
1892,27661,
1893,-15691,
1894,-40886,
1895,-79028,
1896,-99977,
1897,-99078,
1898,-89864,
1899,-68005,
1900,-46317,
1901,-45318,
1902,-33240,
1903,-13758,
1904,1293,
1905,15246,
1906,31489,
1907,53315,
1908,78056,
1909,79234,79234,
1910,41509,
1911,15792,
1912,22348,
1913,52228,
1914,77094,
1915,85705,
1916,97944,
1917,87690,
1918,39568,
1919,-28493,
1920,-56251,
1921,-55915,
1922,-49255,
1923,-40978,
1924,-25580,
1925,-17123,
1926,-23745,
1927,-22800,
1928,-21721,
1929,-26328,
1930,-23834,
1931,-24689,
1932,-16385,
1933,-1931,
1934,-587,
1935,-11604,
1936,-5756,
1937,15662,
1938,54746,
1939,68475,
1940,48932,
1941,35057,
1942,41288,
1943,32681,
1944,10845,
1945,-26136,
1946,-78093,
1947,-106551,
1948,-109007,
1949,-102191,
1950,-81034,
1951,-58678,
1952,-53799,
1953,-36552,
1954,-11017,
1955,733,
1956,3460,
1957,20173,
1958,52820,
1959,76398,76398,
1960,59849,
1961,29905,
1962,18822,
1963,38683,
1964,64737,
1965,88400,
1966,105254,
1967,117230,
1968,100391,
1969,27550,
1970,-26869,
1971,-60923,
1972,-77527,
1973,-72133,
1974,-47123,
1975,-19800,
1976,-15587,
1977,-22507,
1978,-17065,
1979,-15594,
1980,-17462,
1981,-19111,
1982,-18299,
1983,-7147,
1984,10679,
1985,8907,
1986,-9195,
1987,1074,
1988,27940,
1989,62552,
1990,46080,
1991,23896,
1992,21776,
1993,33943,
1994,28915,
1995,139,
1996,-38682,
1997,-84756,
1998,-104246,
1999,-110983,
2000,-105223,
2001,-61107,
2002,-55055,
2003,-49301,
2004,-28047,
2005,-9451,
2006,3787,
2007,11543,
2008,34886,
2009,67610,
2010,81503,81503,
2011,61700,
2012,34209,
2013,14853,
2014,26182,
2015,56240,
2016,66283,
2017,87465,
2018,96041,
2019,68478,
2020,18556,
2021,-24831,
2022,-45018,
2023,-53721,
2024,-40355,
2025,-31197,
2026,-20627,
2027,-22857,
2028,-22970,
2029,-17123,
2030,-16252,
2031,-15413,
2032,-18603,
2033,-14373,
2034,1242,
2035,13893,
2036,988,
2037,-13527,
2038,-6362,
